"segmentLabels__BUILDING","segmentLabels__VALUE","segmentLabels__BUSINESS","segmentLabels__CHECKIN","segmentLabels__LOCATION","segmentLabels__FOOD","segmentLabels__CLEANLINESS","segmentLabels__ROOMS","segmentLabels__SERVICE","segmentLabels__NOTRELATED","annotatorId","ratingOverall","ratingRoom","author","hotelId","reviewId","ratingLocation","ratingCleanliness","ratingService","ratingBusiness","ratingValue","segmentLabels__OTHER","date","ratingCheckin","segments"
"","","","","","","","","","","","","","","","","","","","","","p","","","From the time we checked to the time you check out it's sooo amazing."
"","","","","","","","","","","","","","","","","","","","","","ip","","","You will not want to leave."
"","","","","ip","","","","","","","","","","","","","","","","","","","","The resort is about 25 minutes away from the airport."
"","","","","","","","","","","","","","","","","","","","","","","","","It's a very quick ride."
"","","","ip","","","","","","","","","","","","","","","","","","","","","When you arrive at the resort the bell man takes your luggage and you proceed to check in."
"","","","ip","","","","","","","","","","","","","","","","","","","","","At check in the ask you what drink you want and they get it for you."
"","","","","","","","","","","","","","","","","","","","","","","","","You get a nice cold towel also."
"","","","","","","","","ip","","","","","","","","","","","","","","","","We got into our room at 3pm the bell man took our luggage and drove us to our room in the golf cart."
"","","","","","","","p","","","","","","","","","","","","","","","","","We had a Luxury Jacuzzi Gardenview Ste.....The best room ever."
"","","","","","","","","","","","","","","","","","","","","","","","","The only thing that would be better would be Oceanview."
"","","","","","","","p","","","","","","","","","","","","","","","","","We had a beautiful kitchen, with a nice table and livingroom with a balcony, and also a flat panel TV, and huge bedroom with a King bed, and also another flat panel TV."
"","","","","","","","p","","","","","","","","","","","","","","","","","The bathroom was amazing."
"","","","","","","","ip","","","","","","","","","","","","","","","","","It had a 2 person jacuzzi."
"","","","","","","","","","","","","","","","","","","","","","","","","The shower is a european shower which you will need to get the sand out of all the places."
"","","","","","","","","","","","","","","","","","","","","","p","","","The pool is amazingly HUGE."
"","","","","","","","","","","","","","","","","","","","","","","","","It has beds in the pool in the shade and also in the sun."
"","","","","","","","","","","","","","","","","","","","","","p","","","It has a nice swimup bar where the bar tenders are amazing."
"","","","","","","","","","","","","","","","","","","","","","","","","they will make any drink you want them too."
"","","","","","p","","","","","","","","","","","","","","","","","","","Now my favorite part of course is the food."
"","","","","","p","","","","","","","","","","","","","","","","","","","I have been to Punta Cana 3 times and hands down the food at this resort has got to be the BEST."
"","","","","","","","","","","","","","","","","","","","","","","","","At the other resorts you bite into a burger your not really sure what kind of meat it is."
"","","","","","ip","","","","","","","","","","","","","","","","","","","This resort you know your eating beef."
"","","","","","p","","","","","","","","","","","","","","","","","","","Everything is cooked well...it tastes like American food."
"","","","","","p","","","","","","","","","","","","","","","","","","","We only ate at Passions and the food was soo good."
"","","","","","ip","","","","","","","","","","","","","","","","","","","The buffets has soo many choices of food."
"","","","","","","","","","","","","","","","","","","","","","p","","","The beach......the sand is white the water is crystal clear and warm, and nice blue color."
"","","","","","","","","","in","","","","","","","","","","","","","","","There is a lot of sea weed."
"","","","","","","","","","","","","","","","","","","","","","","","","If you go over by the to the left of the resort by the shops there is less sea weed."
"","","","","","","","","","","","","","","","","","","","","","ip","","","If you do want to do any shopping like I said before to the left of the resort there is about 10 little shops."
"","","","","","","","","","","","","","","","","","","","","","","","","They try there best to sell you anything."
"","","","","","","","","","","","","","","","","","","","","","","","","Ifyou don't want anything just say no and they leave you alone."
"","","","","","","","","","","","","","","","","","","","","","","","","If they offer you something that is expensive just bargain with them and start walking out of the store and they will bargain with you."
"","","","","","","","","","","","","","","","","","","","","","","","","At the resort there is photo studio."
"","","","","","","","","","","","","","","","","","","","","","","","","It's $8 per page, they take about 40 pictures and you pay for what you want."
"","","","","","","","","","","","","","","","","","","","","","","","","And they are good photos."
"","","","","","","","","","","","","","","","","","","","","","","","","If you have any questions just e-mail me: Jillanson@excite."
"","","","","","","","","","","","","","","","","","","","","","","","","com"
"","","","","","","","","","","2","1","2","cruiseshipbride","279809","279809:82","3","3","3","4","1","p","Jan 27, 2008","3","Trapped in Paradise"
"p","","","","","","","n","","","","","","","","","","","","","","","","","The beach and the hotel lobby was beautiful however, the room left a lot to be desired."
"","","","","","","","","","x","","","","","","","","","","","","","","","My husband and I received a gift to go for our honeymoon."
"","","","","","","","","","","","","","","","","","","","","","in","","","We were excited to be alone in what was described as paradise little did we know we would have been better off staying at home."
"","","","","","","","","","","","","","","","","","","","","","x","","","The hotel was briefed ahead of time that we would be spending our honeymoon with them."
"","","","","","","","ip","","","","","","","","","","","","","","","","","Our room was decorated with love birds made of towels and we received a small bottle of room."
